Departure City,Arrival City,Departure Date,Flight Duration,Delay Minutes,Customer ID,Name,Booking Class,Frequent Flyer Status,Route,Ticket Price,Competitor Price,Demand,Origin,Destination,Profitability,Loyalty Points,Churned,Distance_Miles,Estimated_Seats,Revenue,ASM,RPM,Load_Factor
Wilsonstad,Lake Johnmouth,2023-02-05 20:11:09,1.2758104513180268,120,3769,Daniel Oliver,Business,Gold,MEL-BNE,370.6381276565254,382.9473956372815,-0.9327545989981996,MEL,LHR,0.6322258706540151,4245,True,10503.52254528907,50,370.6381276565254,525176.1272644534,10503.52254528907,0.02
New Brent,Port Wanda,,1.2758104513180268,35,3529,Deborah Hall,Economy,Platinum,BNE-SYD,114.52901630896034,394.5836405387877,-1.005569165664726,MEL,SIN,1.26502553191557,833,True,3743.1723118764107,180,114.52901630896034,673771.016137754,3743.1723118764107,0.005555555555555555
South Samanthaberg,Lake Meganside,2023-12-05 15:16:31,0.7211102550927978,67,1303,Mary York,Economy,Platinum,MEL-BNE,164.46801800255258,479.83244389376665,1.7613843676632666,MEL,LAX,1.1416511371610871,2568,True,7921.18063753661,180,164.46801800255258,1425812.51475659,7921.18063753661,0.005555555555555556
Lake Gracefurt,Jamesberg,,-0.9429903335828896,72,2965,Christina Sanchez,Economy,Gold,BNE-SYD,318.9031670706702,286.30163231735867,-0.5201387212212184,MEL,LAX,1.1292913697945646,284,True,7921.18063753661,180,318.9031670706702,1425812.51475659,7921.18063753661,0.005555555555555556
Owenborough,Kelleymouth,,-0.3882901373576605,101,8779,Dustin Owens,Economy,Silver,BNE-SYD,389.971051294559,407.4633155191239,-0.6657678545542706,BNE,SIN,1.218239290714718,2805,True,3815.599427971455,180,389.971051294559,686807.897034862,3815.599427971455,0.005555555555555555
Lake Randyland,Jacquelineland,2023-01-06 07:58:06,-1.497690529808119,89,4269,Nicole Morales,First,Platinum,SYD-MEL,217.4027218771268,243.4767575467512,0.2080069454440427,SYD,LHR,1.3881205092047186,45,False,10573.270418738512,20,217.4027218771268,211465.40837477022,10573.270418738512,0.05
Lake Davidshire,Lake Shawn,2023-03-05 19:21:08,-0.3882901373576605,37,9375,Monica Montgomery,First,Platinum,SYD-MEL,457.5739219428346,192.6673838224193,0.6934373898875502,MEL,LHR,1.2105199477212882,3981,False,10503.52254528907,20,457.5739219428346,210070.4509057814,10503.52254528907,0.049999999999999996
South Deborah,New Kathrynburgh,2023-11-05 04:28:23,0.1664100588675686,117,5855,Jason Whitaker,First,Silver,MEL-BNE,195.47067857949185,355.5125428212916,-1.6609002656634608,SYD,SIN,0.8796406208310951,371,True,3907.155225823998,20,195.47067857949185,78143.10451647996,3907.155225823998,0.05
Gregville,East John,2023-04-06 05:55:27,0.7211102550927978,28,6021,Michael Wade,First,Platinum,MEL-BNE,334.9395556533641,154.07003450863488,-0.4473241545546922,SYD,LAX,1.4834760632493116,1689,False,7487.965807580331,20,334.9395556533641,149759.31615160662,7487.965807580331,0.05
Josephtown,Port Kennethfurt,2023-08-06 03:03:54,1.2758104513180268,47,3065,David Cline,Business,Gold,SYD-MEL,145.36799902209123,109.24669284450997,0.3536360787770949,BNE,SIN,0.9240603622078836,112,True,3815.599427971455,50,145.36799902209123,190779.97139857276,3815.599427971455,0.02
